Energy[keV],Photon_to_nAmp_BestOf,Photon_to_nAmp_oxidized,Photon_to_nAmp_thin
0.1271,194714493.109017,194714493.109017,194979694.034745
0.1272,194291779.979497,194291779.979497,194556405.170406
0.1273,194285320.808867,194285320.808867,194549937.202393
0.1274,194071298.509659,194071298.509659,194335623.405049
0.1275,194065149.656298,194065149.656298,194329466.176956
0.1276,194059230.470769,194059230.470769,194323538.929503
0.1277,193638387.343104,193638387.343104,193902122.613961
0.1278,193632626.319043,193632626.319043,193896353.743391
0.1279,193419882.975055,193419882.975055,193683320.643202
0.128,193414428.63179,193414428.63179,193677858.871128
0.1281,192995509.204329,192995509.204329,193258368.875866
0.1282,192982560.208532,192982560.208532,193245402.243551
0.1283,192778654.925915,192778654.925915,193041219.242163
0.1284,192773659.41759,192773659.41759,193036216.929962
0.1285,192776541.181021,192776541.181021,193039102.618351
0.1286,192367053.129934,192367053.129934,192629056.844989
0.1287,192156654.202948,192156654.202948,192418371.354896
0.1288,192159742.360349,192159742.360349,192421463.718363
0.1289,192155441.447972,192155441.447972,192417156.948148
0.129,191747766.171288,191747766.171288,192008926.418186
0.1291,191743619.162253,191743619.162253,192004773.760929
0.1292,191542034.210218,191542034.210218,191802914.25041
0.1293,191538189.98953,191538189.98953,191799064.793898
0.1294,191132313.284148,191132313.284148,191392635.284889
0.1295,191128620.105734,191128620.105734,191388937.07637
0.1296,190928144.476789,190928144.476789,191188188.399839
0.1297,190924751.199062,190924751.199062,191184790.500471
0.1298,190921579.965921,190921579.965921,191181614.948114
0.1299,190524968.484762,190524968.484762,190784463.282553
0.13,190325582.430281,190325582.430281,190584805.664485
0.1301,190322639.996697,190322639.996697,190581859.22331
0.1302,190319918.181547,190319918.181547,190579133.70105
0.1303,189917495.345922,189917495.345922,190176162.765966
0.1304,189907382.905861,189907382.905861,190166036.552772
0.1305,189709171.378307,189709171.378307,189967555.061336
0.1306,189699352.092266,189699352.092266,189957722.401438
0.1307,189697276.507221,189697276.507221,189955643.989448
0.1308,189296584.074996,189296584.074996,189554405.814571
0.1309,189091962.331693,189091962.331693,189349505.376678
0.131,189082590.618247,189082590.618247,189340120.898969
0.1311,189080935.198173,189080935.198173,189338463.224215
0.1312,188682035.312254,188682035.312254,188939020.037089
0.1313,188673029.278018,188673029.278018,188930001.736645
0.1314,188477077.364126,188477077.364126,188733782.936461
0.1315,188468358.360857,188468358.360857,188725052.057918
0.1316,188071237.203746,188071237.203746,188327390.022228
0.1317,188070132.138524,188070132.138524,188326283.451908
0.1318,187867795.626481,187867795.626481,188123671.357759
0.1319,187859511.738028,187859511.738028,188115376.186658
0.132,187851432.116509,187851432.116509,188107285.560704
0.1321,187463457.463469,187463457.463469,187718782.486612
0.1322,187262215.657882,187262215.657882,187517266.589908
0.1323,187254361.48675,187254361.48675,187509401.721402
0.1324,187246710.202535,187246710.202535,187501740.016147
0.1325,186838225.735638,186838225.735638,187092699.193855
0.1326,186808464.685971,186808464.685971,187062897.609671
0.1327,186586233.58711,186586233.58711,186840363.832297
0.1328,186564147.74,186564147.74,186818247.904288
0.1329,186534836.296632,186534836.296632,186788896.538766
0.133,186121061.908623,186121061.908623,186374558.590495
0.1331,185907494.546896,185907494.546896,186160700.350256
0.1332,185878461.023863,185878461.023863,186131627.283597
0.1333,185849602.585874,185849602.585874,186102729.540447
0.1334,185437950.194837,185437950.194837,185690516.479305
0.1335,185409272.428603,185409272.428603,185661799.653986
0.1336,185197048.77198,185197048.77198,185449286.948975
0.1337,185168637.732753,185168637.732753,185420837.213944
0.1338,184766408.781157,184766408.781157,185018060.426958
