Simulation Number,Dipole.photonEnergy,ExitSlit.openingHeight,PG.cFactor,Dipole.numberRays,M1.roughnessSubstrate,M1.roughnessCoating1,PremirrorM2.roughnessSubstrate,PremirrorM2.roughnessCoating1,PG.roughnessSubstrate,M3.roughnessSubstrate,M3.roughnessCoating1,KB1.roughnessSubstrate,KB1.roughnessCoating1,KB2.roughnessSubstrate,KB2.roughnessCoating1
159,1250,0.1,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
160,1250,0.1,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
161,1250,0.1,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
162,1250,0.1,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
163,1250,0.1,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
164,1250,0.1,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
165,1250,0.1,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
166,1250,0.1,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
167,1250,0.1,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
168,1250,0.1,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
169,1250,0.1,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
170,1250,0.1,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
171,1250,0.1,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
172,1250,0.1,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
173,1250,0.1,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
174,1250,0.1,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
175,1250,0.1,5,50000,0,0,0,0,0,0,0,0.3,0.3,0,0
176,1250,0.1,5,50000,0,0,0,0,0,0,0,0.5,0.5,0,0
177,1250,0.1,5,50000,0,0,0,0,0,0,0,1.5,1.5,0,0
178,1250,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.1,0.1
179,1250,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.3,0.3
180,1250,0.1,5,50000,0,0,0,0,0,0,0,0,0,0.5,0.5
181,1250,0.1,5,50000,0,0,0,0,0,0,0,0,0,1.5,1.5
182,1250,0.05,5,50000,0,0,0,0,0,0,0,0,0,0,0
183,1250,0.05,5,50000,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
184,1250,0.05,5,50000,0.1,0.1,0,0,0,0,0,0,0,0,0
185,1250,0.05,5,50000,0.3,0.3,0,0,0,0,0,0,0,0,0
186,1250,0.05,5,50000,0.5,0.5,0,0,0,0,0,0,0,0,0
187,1250,0.05,5,50000,1.5,1.5,0,0,0,0,0,0,0,0,0
188,1250,0.05,5,50000,0,0,0.1,0.1,0,0,0,0,0,0,0
189,1250,0.05,5,50000,0,0,0.3,0.3,0,0,0,0,0,0,0
190,1250,0.05,5,50000,0,0,0.5,0.5,0,0,0,0,0,0,0
191,1250,0.05,5,50000,0,0,1.5,1.5,0,0,0,0,0,0,0
192,1250,0.05,5,50000,0,0,0,0,0.1,0,0,0,0,0,0
193,1250,0.05,5,50000,0,0,0,0,0.3,0,0,0,0,0,0
194,1250,0.05,5,50000,0,0,0,0,0.5,0,0,0,0,0,0
195,1250,0.05,5,50000,0,0,0,0,1.5,0,0,0,0,0,0
196,1250,0.05,5,50000,0,0,0,0,0,0.1,0.1,0,0,0,0
197,1250,0.05,5,50000,0,0,0,0,0,0.3,0.3,0,0,0,0
198,1250,0.05,5,50000,0,0,0,0,0,0.5,0.5,0,0,0,0
199,1250,0.05,5,50000,0,0,0,0,0,1.5,1.5,0,0,0,0
200,1250,0.05,5,50000,0,0,0,0,0,0,0,0.1,0.1,0,0
